,title,year,certificate,duration,genre,rating,description,votes
138,Inventing Anna,(2022),TV-MA,65 min,Drama,6.8,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York's social scene - and stole their money as well.","65,185"
139,It,(I) (2017),R,135 min,Horror,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","537,240"
140,Narcos,(2015–2017),TV-MA,49 min,"Biography, Crime, Drama",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","416,307"
141,The Sinner,(2017–2021),TV-MA,45 min,"Crime, Drama, Mystery",7.9,Anthology series that examines how and why ordinary people commit brutal crimes.,"120,241"
142,Homeland,(2011–2020),TV-MA,55 min,"Crime, Drama, Mystery",8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,"339,482"
143,The Haunting of Hill House,(2018),TV-MA,572 min,"Drama, Horror, Mystery",8.6,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","237,198"
144,Doc Martin,(2004–2022),TV-14,46 min,"Comedy, Drama, Romance",8.4,"The trials and tribulations of Dr. Martin Ellingham, who moves from London to the picturesque village of Portwenn in Cornwall.","16,147"
145,Hawaii Five-0,(2010–2020),TV-14,42 min,"Action, Crime, Drama",7.4,"When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0.","73,530"
146,Star Trek: The Original Series,(1966–1969),TV-PG,50 min,"Action, Adventure, Sci-Fi",8.4,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.","83,805"
147,The Next 365 Days,(2022),TV-MA,112 min,"Drama, Romance",2.7,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,"5,495"
148,Don't Look Up,(2021),R,138 min,"Comedy, Drama, Sci-Fi",7.2,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,"525,424"
149,Murdoch Mysteries,(2008– ),TV-PG,48 min,"Crime, Drama, Mystery",8.2,"In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.","14,381"
150,The Good Wife,(2009–2016),TV-14,43 min,"Crime, Drama, Mystery",8.4,"Alicia Florrick has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.","75,557"
151,Shadow and Bone,(2021– ),TV-14,60 min,"Action, Adventure, Drama",7.6,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,"82,657"
152,Sex/Life,(2021– ),TV-MA,45 min,"Comedy, Drama, Romance",5.4,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,"21,107"
153,Gladiator,(2000),R,155 min,"Action, Adventure, Drama",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"1,481,531"
154,The Punisher,(2017–2019),TV-MA,53 min,"Action, Crime, Drama",8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","231,599"
155,Midnight Mass,(2021),TV-MA,450 min,"Drama, Fantasy, Horror",7.7,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.","110,997"
156,"Roswell, New Mexico",(2019–2022),TV-14,45 min,"Drama, Romance, Sci-Fi",6.2,"Centers on a town where aliens with unearthly abilities live undercover among humans. But when a violent attack points to a greater alien presence, the politics of fear and hatred threaten to expose them.","12,827"
157,Taxi Driver,(1976),R,114 min,"Crime, Drama",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","819,599"
158,Teen Wolf,(2011–2017),TV-14,41 min,"Action, Drama, Fantasy",7.7,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,"146,991"
159,Vikings: Valhalla,(2022– ),TV-MA,51 min,"Action, Adventure, Drama",7.2,"Follow-up series to 'Vikings' set 100 years afterward and centering on the adventures of Leif Erikson, Freydis, Harald Hardrada and the Norman King William the Conqueror.","37,571"
160,New Amsterdam,(2018– ),TV-14,43 min,Drama,8.0,A new medical director breaks the rules to heal the system at America's oldest public hospital.,"37,212"
161,Léon: The Professional,(1994),R,110 min,"Action, Crime, Drama",8.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","1,147,345"
162,Arrow,(2012–2020),TV-14,42 min,"Action, Adventure, Crime",7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","429,943"
163,The Good Nurse,(2022),R,121 min,"Biography, Crime, Drama",7.8,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,116
164,The Good Place,(2016–2020),TV-PG,22 min,"Comedy, Drama, Fantasy",8.2,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,"156,760"
165,Agents of S.H.I.E.L.D.,(2013–2020),TV-PG,45 min,"Action, Adventure, Drama",7.5,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","216,461"
166,Mother!,(2017),R,121 min,"Drama, Horror, Mystery",6.6,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","224,398"
167,Hustle,(2022),R,117 min,"Comedy, Drama, Sport",7.3,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,"110,391"
168,Terim,(2022– ),TV-14,,"Documentary, Biography, Sport",7.0,"Legendary manager Fatih Terim recounts his football journey, from his playing days to coaching and leading several teams to championship glory.","4,279"
169,365 Days: This Day,(2022),TV-MA,111 min,"Drama, Romance",2.6,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.,"19,357"
170,Cheers,(1982–1993),TV-PG,22 min,"Comedy, Drama",7.9,"The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name.","54,765"
171,Line of Duty,(2012–2021),TV-14,60 min,"Crime, Drama, Mystery",8.7,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","58,387"
172,Pieces of Her,(2022– ),TV-MA,52 min,"Crime, Drama, Mystery",6.3,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's conception of her mother is forever changed.","25,208"
173,The Departed,(2006),R,151 min,"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"1,310,171"
174,Star Wars: The Clone Wars,(2008–2020),TV-PG,23 min,"Animation, Action, Adventure",8.4,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"94,334"
175,Star Trek: Deep Space Nine,(1993–1999),TV-PG,45 min,"Action, Adventure, Drama",8.1,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.","62,898"
176,Spider-Man,(2002),PG-13,121 min,"Action, Adventure, Sci-Fi",7.4,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.","809,904"
177,Santo,(2022– ),TV-MA,45 min,"Action, Crime, Drama",5.0,"Santo is a drug dealer whose face has never been revealed. Two policemen who go after him, Millán and Cardona, radically opposed, will have to learn to collaborate to solve the case and keep their lives safe.",417
178,Delhi Crime,(2019– ),TV-MA,50 min,"Crime, Drama",8.5,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.","22,337"
179,JoJo's Bizarre Adventure,(2012– ),TV-14,30 min,"Animation, Action, Adventure",8.4,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.","22,677"
180,House of Cards,(2013–2018),TV-MA,51 min,Drama,8.7,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"500,982"
181,American Crime Story,(2016– ),TV-MA,42 min,"Biography, Crime, Drama",8.4,An anthology series centered around America's most notorious crimes and criminals.,"95,054"
182,Beauty and the Beast,(I) (2017),PG,129 min,"Adventure, Family, Fantasy",7.1,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","306,985"
183,Dynasty,(2017–2022),TV-14,42 min,Drama,7.2,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,"22,045"
184,Glee,(2009–2015),TV-PG,44 min,"Comedy, Drama, Music",6.8,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,"147,910"
185,Brooklyn,(2015),PG-13,117 min,"Drama, Romance",7.5,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.","142,184"
186,The Americans,(2013–2018),TV-MA,44 min,"Crime, Drama, Mystery",8.4,"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family.","98,875"
187,Gotham,(2014–2019),TV-14,42 min,"Action, Crime, Drama",7.8,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,"229,301"
188,Gossip Girl,(2007–2012),TV-14,42 min,"Drama, Romance",7.5,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,"173,318"
189,Gone Girl,(2014),R,149 min,"Drama, Mystery, Thriller",8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","971,322"
190,The Tudors,(2007–2010),TV-MA,60 min,"Drama, History, Romance",8.1,A dramatic series about the reign and marriages of King Henry VIII.,"74,863"
191,Twin Peaks,(1990–1991),TV-MA,47 min,"Crime, Drama, Mystery",8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"196,192"
